HomeTeam,AwayTeam,FTHG,FTAG,FTR
Oxford,Middlesbrough,1,1,D
Portsmouth,Millwall,3,1,H
QPR,Hull,3,2,H
Sheffield Weds,Sheffield United,0,3,A
Hull,Ipswich,0,2,A
Middlesbrough,Coventry,2,4,A
Norwich,Oxford,1,1,D
Stoke,Charlton,3,0,H
Swansea,Derby,1,2,A
Watford,Preston,1,1,D
Southampton,Leicester,3,0,H
Blackburn,QPR,0,1,A
Millwall,Sheffield Weds,1,0,H
Sheffield United,Portsmouth,3,0,H
Wrexham,Bristol City,2,0,H
West Brom,Birmingham,1,1,D
Oxford,Ipswich,2,1,H
Leicester,Sheffield United,2,3,A
Portsmouth,Bristol City,0,1,A
Stoke,Hull,1,2,A
Coventry,Charlton,3,1,H
Middlesbrough,Derby,2,1,H
Millwall,Southampton,3,2,H
Norwich,QPR,3,1,H
Sheffield Weds,Preston,2,3,A
West Brom,Swansea,3,2,H
Wrexham,Blackburn,1,1,D
Birmingham,Watford,2,1,H
Blackburn,Ipswich,1,1,D
Hull,Middlesbrough,1,4,A
Derby,Leicester,1,3,A
Watford,Norwich,3,2,H
Bristol City,Millwall,0,1,A
Ipswich,Coventry,3,0,H
Preston,Wrexham,1,1,D
QPR,West Brom,3,1,H
Sheffield United,Stoke,4,0,H
Southampton,Birmingham,3,1,H
Swansea,Oxford,2,0,H
Burgos,Cultural Leonesa,5,1,H
Valladolid,Ceuta,3,0,H
Santander,Castellon,3,1,H
Malaga,Eibar,1,1,D
Granada,La Coruna,1,3,A
Sociedad B,Zaragoza,1,0,H
Cadiz,Mirandes,1,0,H
Huesca,Leganes,1,1,D
Las Palmas,Andorra,1,1,D
Sp Gijon,Cordoba,2,1,H
Almeria,Albacete,4,4,D
Eibar,Granada,3,0,H
Castellon,Valladolid,0,1,A
Leganes,Cadiz,1,1,D
Mirandes,Huesca,0,1,A
Ceuta,Sp Gijon,0,1,A
Zaragoza,Andorra,1,3,A
La Coruna,Burgos,0,0,D
Cultural Leonesa,Almeria,0,1,A
Malaga,Sociedad B,1,0,H
Albacete,Santander,2,3,A
Cordoba,Las Palmas,1,3,A
Sociedad B,Almeria,2,2,D
Sp Gijon,Cultural Leonesa,1,0,H
Santander,Ceuta,4,1,H
Valladolid,Cordoba,0,0,D
