Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HY,AY,HR,AR,HC,AC,HST,AST,HF,AF,BTTS,HomeGoalsAvg,AwayGoalsAvg,GoalDiff,HY_avg,AY_avg,HR_avg,AR_avg,HC_avg,AC_avg,HST_avg,AST_avg,HF_avg,AF_avg,Home_Win_Streak,Home_BTTS_Streak,Home_CleanSheet_Streak,Away_Win_Streak,Away_BTTS_Streak,Away_CleanSheet_Streak
2025-08-25,Newcastle,Liverpool,2,3,A,2,3,1,0,7,1,3,4,17,15,1,1.75,1.625,0.125,1.0,2.375,0.125,0.0,7.625,4.875,5.625,4.0,11.125,11.625,3,5,0,1,2,1
2025-08-30,Chelsea,Fulham,2,0,H,2,2,0,0,6,4,6,3,11,17,0,1.4285714285714286,0.8571428571428571,0.5714285714285715,1.4285714285714286,2.2857142857142856,0.2857142857142857,0.0,7.285714285714286,4.0,5.285714285714286,3.5714285714285716,11.142857142857142,13.428571428571429,2,2,3,2,3,1
2025-08-30,Man United,Burnley,3,2,H,1,5,0,0,7,1,6,3,9,9,1,1.7142857142857142,1.375,0.3392857142857142,1.2857142857142858,1.875,0.14285714285714285,0.125,4.714285714285714,4.25,6.0,3.75,10.142857142857142,9.625,2,4,0,0,3,0
2025-08-30,Sunderland,Brentford,2,1,H,3,2,0,0,3,4,3,4,11,12,1,2.0,0.75,1.25,2.142857142857143,2.0,0.14285714285714285,0.0,4.142857142857143,6.5,3.5714285714285716,3.125,10.714285714285714,11.0,1,3,0,2,3,0
2025-08-30,Tottenham,Bournemouth,0,1,A,2,4,0,0,0,8,1,6,17,13,0,1.25,1.5714285714285714,-0.3214285714285714,2.75,3.0,0.0,0.14285714285714285,6.0,5.714285714285714,3.375,4.857142857142857,11.75,13.714285714285714,1,4,1,0,2,1
2025-08-30,Wolves,Everton,2,3,A,0,1,0,0,2,2,4,4,15,10,1,0.875,1.0,-0.125,1.5,1.8571428571428572,0.0,0.14285714285714285,2.75,2.7142857142857144,3.375,2.0,14.125,11.0,0,1,0,4,1,4
2025-08-30,Leeds,Newcastle,0,0,D,1,1,0,0,5,5,1,2,10,15,0,1.625,1.0,0.625,2.125,1.0,0.0,0.0,4.75,4.571428571428571,4.5,3.142857142857143,11.5,10.571428571428571,1,5,0,3,5,0
2025-08-31,Brighton,Man City,2,1,H,2,2,0,0,3,2,7,3,16,14,1,2.0,1.8571428571428572,0.1428571428571428,1.75,2.2857142857142856,0.0,0.0,5.375,4.142857142857143,5.375,3.7142857142857144,11.625,9.714285714285714,2,3,2,4,3,2
2025-08-31,Nott'm Forest,West Ham,0,3,A,0,0,0,0,9,7,3,8,14,6,0,1.1428571428571428,1.125,0.017857142857142794,1.4285714285714286,2.0,0.0,0.0,7.0,5.0,4.0,3.5,10.857142857142858,10.5,3,1,2,1,4,0
2025-08-31,Liverpool,Arsenal,1,0,H,2,2,0,0,3,8,3,1,7,10,0,1.5714285714285714,1.25,0.3214285714285714,1.4285714285714286,2.125,0.0,0.0,5.571428571428571,6.0,4.857142857142857,5.5,9.571428571428571,11.125,1,2,1,2,4,1
2025-08-31,Aston Villa,Crystal Palace,0,3,A,2,3,0,0,10,1,4,4,7,14,0,1.625,1.375,0.25,1.25,1.875,0.125,0.0,5.25,3.75,5.125,4.0,9.75,10.375,5,3,2,3,2,3
2025-09-13,Arsenal,Nott'm Forest,3,0,H,1,1,0,0,8,4,5,1,8,11,0,2.5714285714285716,0.75,1.8214285714285716,0.42857142857142855,1.875,0.0,0.0,5.857142857142857,4.375,5.142857142857143,3.875,9.285714285714286,11.125,2,4,1,3,1,2
2025-09-13,Bournemouth,Brighton,2,1,H,4,4,0,0,4,4,5,2,16,10,1,1.25,1.2857142857142858,-0.03571428571428581,2.125,3.2857142857142856,0.0,0.0,5.25,5.285714285714286,4.875,4.142857142857143,12.375,12.142857142857142,0,2,1,2,3,2
2025-09-13,Crystal Palace,Sunderland,0,0,D,1,1,0,0,5,3,6,0,10,8,0,1.2857142857142858,0.5,0.7857142857142858,1.4285714285714286,1.625,0.0,0.125,4.0,3.25,4.428571428571429,2.5,10.0,9.0,3,2,3,1,3,0
2025-09-13,Everton,Aston Villa,0,0,D,3,3,0,0,10,3,2,1,17,15,0,1.375,1.2857142857142858,0.08928571428571419,2.5,1.7142857142857142,0.0,0.0,5.875,5.142857142857143,4.0,3.2857142857142856,10.625,10.714285714285714,4,1,4,5,3,2
2025-09-13,Fulham,Leeds,1,0,H,1,2,0,0,3,3,3,3,20,15,0,1.75,0.8571428571428571,0.8928571428571429,1.25,1.2857142857142858,0.0,0.0,6.25,3.142857142857143,4.0,3.0,10.75,10.142857142857142,2,3,1,1,5,0
2025-09-13,Newcastle,Wolves,1,0,H,1,4,0,0,10,4,4,3,10,17,0,1.75,0.14285714285714285,1.6071428571428572,1.0,2.7142857142857144,0.125,0.2857142857142857,7.625,3.2857142857142856,5.625,2.2857142857142856,11.125,15.0,3,5,0,0,1,0
2025-09-13,West Ham,Tottenham,0,3,A,0,1,1,0,2,13,4,5,8,7,0,1.1428571428571428,2.142857142857143,-1.0,1.1428571428571428,2.2857142857142856,0.2857142857142857,0.0,6.285714285714286,6.142857142857143,3.857142857142857,3.4285714285714284,10.285714285714286,11.285714285714286,1,4,0,1,4,1
2025-09-13,Brentford,Chelsea,2,2,D,3,2,0,0,5,6,4,6,13,9,1,2.142857142857143,1.875,0.2678571428571428,2.0,2.25,0.0,0.25,4.285714285714286,4.25,4.857142857142857,5.0,10.285714285714286,11.875,2,3,0,2,2,3
2025-09-14,Burnley,Liverpool,0,1,A,0,2,0,0,1,13,0,4,9,9,0,0.7142857142857143,1.625,-0.9107142857142857,1.0,2.375,0.0,0.0,2.142857142857143,4.875,2.2857142857142856,4.0,10.285714285714286,11.625,0,3,0,1,2,1
2025-09-14,Man City,Man United,3,0,H,0,0,0,0,2,4,6,2,8,8,0,2.75,1.75,1.0,1.375,1.375,0.0,0.0,7.625,4.625,6.75,5.0,9.5,10.375,4,3,2,2,4,0
2025-09-20,Liverpool,Everton,2,1,H,2,3,0,0,5,4,3,2,11,10,1,1.5714285714285714,1.0,0.5714285714285714,1.4285714285714286,1.8571428571428572,0.0,0.14285714285714285,5.571428571428571,2.7142857142857144,4.857142857142857,2.0,9.571428571428571,11.0,1,2,1,4,1,4
2025-09-20,Brighton,Tottenham,2,2,D,1,2,0,0,2,10,4,3,10,13,1,2.0,2.142857142857143,-0.1428571428571428,1.75,2.2857142857142856,0.0,0.0,5.375,6.142857142857143,5.375,3.4285714285714284,11.625,11.285714285714286,2,3,2,1,4,1
2025-09-20,Burnley,Nott'm Forest,1,1,D,1,1,0,0,4,5,5,8,12,11,1,0.7142857142857143,0.75,-0.0357142857142857,1.0,1.875,0.0,0.0,2.142857142857143,4.375,2.2857142857142856,3.875,10.285714285714286,11.125,0,3,0,3,1,2
2025-09-20,West Ham,Crystal Palace,1,2,A,3,3,0,0,8,8,3,3,15,5,1,1.1428571428571428,1.375,-0.2321428571428572,1.1428571428571428,1.875,0.2857142857142857,0.0,6.285714285714286,3.75,3.857142857142857,4.0,10.285714285714286,10.375,1,4,0,3,2,3
